,담보대출_대출용도_거주주택 구입,담보대출_대출용도_거주주택이외 부동산 구입,담보대출_대출용도_전(월)세 보증금 마련,담보대출_대출용도_부채상환,담보대출_대출용도_사업자금 마련,담보대출_대출용도_생활비 마련,담보대출_대출용도_기타 용도 등,담보대출_대출기관_은행(2010년은 농수협 중앙회 제외),담보대출_대출기관_저축은행,담보대출_대출기관_비은행금융기관(2010년은 농수협중앙회 포함),담보대출_대출기관_보험회사,담보대출_대출기관_기타 기관 등,신용대출,신용대출_대출용도_거주주택 구입,신용대출_대출용도_거주주택이외 부동산 구입,신용대출_대출용도_전(월)세 보증금 마련,신용대출_대출용도_부채상환,신용대출_대출용도_사업자금 마련,신용대출_대출용도_생활비 마련,신용대출_대출용도_기타 용도 등,신용대출_대출기관_은행(2010년은 농수협 중앙회 제외),신용대출_대출기관_저축은행,신용대출_대출기관_비은행금융기관(2010년은 농수협중앙회 포함),신용대출_대출기관_보험회사,가구주 성별,가구주교육정도 통합별,가구주 혼인상태,입주형태,수도권여부,가구주 직업(대분류),부실가구
0,0.0,0.0,0.19230769230769232,0.0,0.0,0.0,0.0,0.017964609718853858,0.0,0.0,0.0,0.0,0.060000000000000005,0.0,0.0,0.0,0.0,0.07894736842105264,0.0,0.0,0.060000000000000005,0.0,0.0,0.0,0,1,1,0,1,0,0
1,0.0,0.0,0.0,0.0,0.03166666666666667,0.0,0.0,0.017066379232911166,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.026315789473684213,0.0,0.0,0.0,0.11764705882352941,0.0,0.0,1,1,1,0,1,0,1
2,0.0,0.0,0.0,0.038560411311053984,0.0,0.0,0.0,0.0,0.0,0.013043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0
3,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.07826086956521738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
5,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.2508710801393728,0.0,0.0,0.0,0.009000000000000001,0.0,0.0,0.0,0.0,0.0,0.03214285714285715,0.0,0.009000000000000001,0.0,0.0,0.0,0,0,1,1,0,0,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.014285714285714287,0.0,0.0,0.023529411764705882,0.0,0.0,0,1,0,1,1,0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.2708333333333333,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,1,0,1,0,1,0,0
8,0.0,0.0,0.0038461538461538464,0.0,0.0,0.0,0.0,0.00035929219437707714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12000000000000001,0.0,0.12000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.7058823529411765,0.0,0.0,1,0,1,0,1,0,0
10,0.024107142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.004850444624090542,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.08928571428571429,0.0,0.0,0.0,0.0,0.1,0,0,1,1,1,0,0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,0,0,0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0
13,0.0,0.06948890685349861,0.0,0.0,0.0,0.0,0.0,0.019187999640707807,0.09756097560975609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,1,0,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0,0,1,0,1,1,1
16,0.0,0.0,0.3373076923076923,0.0,0.0,0.0,0.0,0.03150992544686967,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.10689470871191876,0.04,0.0,0.0,0.0,0,1,1,0,1,0,0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,0
18,0.0,0.0,0.0,0.0,0.0,0.04285714285714286,0.0,0.0,0.0,0.0,0.02142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0
19,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.023000000000000003,0.000898230485942693,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,1,0,0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20700000000000002,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.49973276322822024,0.20700000000000002,0.0,0.0,0.0,0,1,1,0,1,0,0
21,0.00892857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.001796460971885386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0
23,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.025150453606395402,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.015789473684210527,0.0,0.0,0.0,0.0,0.0,0.048,0,0,1,1,1,0,0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09000000000000001,0.0,0.0,0.0,0.34615384615384615,0.0,0.0,0.0,0.09000000000000001,0.0,0.0,0.0,0,1,1,1,1,0,0
26,0.10714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.02155753166262463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035600000000000002,0.0,0.0,0.0,0.0,0.0,0.012714285714285714,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1
29,0.09821428571428573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047826086956521734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,1,0,0
30,0.0,0.05209736818467619,0.0,0.0,0.0,0.0,0.0,0.05209736818467619,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0,1,1,0,1,0,0
31,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0026946914578280788,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.005263157894736842,0.0,0.0,0.004,0.0,0.0,0.0,1,0,0,1,1,0,0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,0,0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016120000000000002,0.0,0.0,0.0,0.062,0.0,0.0,0.0,0.0009500000000000001,0.0,0.0,0.060680000000000005,0,1,1,1,1,0,0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.05344735435595938,0.0,0.11764705882352941,0.0,0.0,0,0,1,0,0,1,0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,1,1,0
36,0.0,0.0,0.17307692307692307,0.0,0.0,0.0,0.0,0.016168148746968473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021820000000000003,0.0,0.0,0.0,0.08392307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,1
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0145,0.0,0.0,0.0,0.0,0.0,0.0,0.038749331908070554,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0
39,0.0,0.0,0.125,0.0,0.0,0.02857142857142857,0.0,0.011676996317255007,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0
40,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999999,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.04275788348476751,0.016,0.0,0.0,0.0,0,1,1,1,0,0,0
41,0.0,0.0,0.09615384615384616,0.0,0.0,0.0,0.0,0.008982304859426929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0
42,0.048214285714285716,0.0,0.0,0.0,0.0,0.0,0.0,0.009700889248181084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,0,0,0
43,0.0,0.0,0.21153846153846154,0.0,0.0,0.14285714285714285,0.0,0.028743375550166175,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.05,0.0,0.04,0.0,0,1,1,0,1,0,1
44,0.04017857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.008084074373484237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,1,0,0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0,1,0,0,1,0,0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0
47,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.014371687775083087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0
48,0.0,0.0,0.36923076923076925,0.0,0.0,0.0,0.0,0.034492050660199405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.17857142857142858,0.0,0.05,0.0,0.0,0.0,0,1,1,0,1,0,0
50,0.0,0.0,0.0,0.0,0.0,0.007142857142857143,0.0,0.0004491152429713465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.007894736842105263,0.0,0.0,0.006,0.0,0.0,0.0,0,0,1,1,1,0,0
52,0.0,0.0,0.0,0.0,0.0,0.03428571428571429,0.0,0.0,0.0,0.0,0.017142857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,1
53,0.022767857142857145,0.0,0.0,0.0,0.0,0.0,0.0,0.004580975478307734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0
54,0.05083928571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.010229048773915388,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.17857142857142858,0.0,0.05,0.0,0.0,0.0,1,1,1,1,0,0,0
55,0.02125,0.0,0.0,0.0,0.0,0.0,0.0,0.004275577113087218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0
56,0.053571428571428575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02608695652173913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.000898230485942693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,1
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011850000000000001,0.0,0.0,0.0,0.0,0.0,0.04232142857142857,0.0,0.0,0.06970588235294117,0.0,0.0,1,0,0,0,1,0,1
59,0.0,0.0,0.0,0.0,0.0,0.5090285714285714,0.0,0.03200574867511003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0
60,0.02142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.004311506332524926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,1,0,0
61,0.013392857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0026946914578280788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
63,0.0,0.0,0.0,0.0,0.0,0.017142857142857144,0.0,0.0,0.0,0.0,0.008571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,1,0
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,0.0,0.0,0.006153846153846154,0.0,0.0,0.0,0.0016,0.0,0.0,0.0,0,0,0,0,1,0,0
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0
67,0.044642857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.008982304859426929,0.0,0.0,0.0,0.0,0.021800000000000003,0.0,0.0,0.0,0.04923076923076923,0.0,0.0,0.024051309460181722,0.021800000000000003,0.0,0.0,0.0,0,1,1,1,0,0,0
68,0.2455357142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.04940267672684811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0
69,0.3513839285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.07069972154854935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.10416666666666666,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,1,1,0,0,0,0,0
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.026923076923076925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0
72,0.03571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.007185843887541544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,1,0
73,0.19196428571428573,0.0,0.0,0.0,0.0,0.0,0.0,0.038623910895535796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.028,0.0,0,0,1,1,1,0,0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.04285714285714286,0.0,0.012,0.0,0.0,0.0,1,0,0,1,0,1,0
77,0.044642857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.008982304859426929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,1,0
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1
79,0.0,0.11766819365849276,0.0,0.0,0.0,0.0,0.0,0.11766819365849276,0.0,0.0,0.0,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.10357142857142858,0.0,0.029,0.0,0.0,0.0,0,1,1,0,0,0,0
80,0.0,0.0,0.0,0.0,0.0,0.11428571428571428,0.0,0.007185843887541544,0.0,0.0,0.0,0.0,0.036000000000000004,0.0,0.0,0.0,0.13846153846153847,0.0,0.0,0.0,0.036000000000000004,0.0,0.0,0.0,0,1,0,0,1,0,0
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018000000000000002,0.0,0.0,0.0375,0.0,0.0,0.0,0.0,0.018000000000000002,0.0,0.0,0.0,1,0,1,0,1,0,0
82,0.044642857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.008982304859426929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,0,0
83,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0016168148746968471,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.10689470871191876,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1
84,0.0,0.0,0.0,0.0,0.0,0.07428571428571429,0.0,0.0,0.0,0.011304347826086955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0
86,0.015839285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0031869217641246742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0
87,0.048214285714285716,0.0,0.0,0.0,0.0,0.0,0.0,0.009700889248181084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,1,1,1
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.01785714285714286,0.0,0.005,0.0,0.0,0.0,0,0,1,1,1,0,0
89,0.13125,0.0,0.0,0.0,0.0,0.0,0.0,0.026407976286715172,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.028571428571428574,0.0,0.008,0.0,0.0,0.0,0,1,1,1,1,0,0
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,1
91,0.14910714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.030000898230485944,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.021378941742383754,0.008,0.0,0.0,0.0,0,1,1,1,1,0,0
92,0.07653571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.015399263451001528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.03571428571428572,0.0,0.01,0.0,0.0,0.0,0,1,1,1,0,0,0
94,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.007185843887541544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,0,0,0
95,0.04285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.008623012665049851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06280000000000001,0.0,0.0,0.0,0.0,0.0,0.2242857142857143,0.0,0.060000000000000005,0.01647058823529412,0.0,0.0,0,1,0,0,1,0,0
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0
98,0.12017857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05852173913043478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,1,0,0
99,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,1,0,0
100,0.08928571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.017964609718853858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,0
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03892,0.0,0.0,0.0,0.1496923076923077,0.0,0.0,0.0,0.03892,0.0,0.0,0.0,0,1,0,0,0,0,0
102,0.05726785714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.011522500673672864,0.0,0.0,0.0,0.0,0.015000000000000001,0.061442673985171836,0.0,0.0,0.0,0.0,0.0,0.0,0.015000000000000001,0.0,0.0,0.0,0,1,1,1,0,1,0
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0
104,0.0,0.0,0.21153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0
105,0.0,0.018101140752717147,0.0,0.0,0.0,0.0,0.0,0.018101140752717147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0
106,0.06767857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.013617174166891224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0
107,0.043303571428571434,0.0,0.0,0.0,0.0,0.0,0.0,0.008712835713644122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,1,0,0
108,0.0,0.0,0.0,0.0,0.0,0.03142857142857143,0.0,0.0019761070690739245,0.0,0.0,0.0,0.0,0.009000000000000001,0.0,0.0,0.0,0.0,0.011842105263157895,0.0,0.0,0.009000000000000001,0.0,0.0,0.0,0,0,1,1,1,1,0
109,0.06517857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.013114165094763316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0
110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.010714285714285714,0.0,0.0,0.0,0.006,0.0,0,0,1,0,0,0,0
